ID программы;Форма обучения;Проходной балл бюджет;Проходной балл платное;Мест бюджет;Мест платное;Стоимость;Стоимость, за год;Когда;Срок обучения;График занятий
711576;Заочная;;;;;138 000 р.;;20 авг, 20 авг, 4 сен, 21 сен, 5 окт, 20 окт, 5 ноя, 20 ноя, 4 дек, 21 дек;18 месяцев, 1536 ак. ч;от 20 до 40 часов в неделю
736658;Дистанционная;;;;;70 000 р.;;3 сен;6 месяцев;-
738004;Дистанционная;;;;;78 000 р.;;23 авг, 23 авг, 30 авг;4 месяца;-
744472;Online;;;;;бесплатно;;-;1 день;-
744318;Очная;;;;;29 300 р.;;9 сен, 23 сен;72 ак. ч;-
744318;Дистанционная;;;;;15 000 р.;;в любое время;72 ак. ч;-
700730;Группа выходного дня;;;;;76 500 р.;;10 окт, 10 окт, 7 ноя, 12 дек, 9 янв 2021, 13 фев 2021, 13 мар 2021, 10 апр 2021, 15 май 2021, 12 июн 2021, 10 июл 2021;9 месяцев, 150 ак. ч;10 сессий по выходным с 10.00 до 18.00
734983;Очная;;;;;79 000 р.;;по мере набора;5 месяцев, 252 ак. ч;в будний день с 19:00 до 22:00 часов, суббота с 11:00 до 17:00
739677;Дистанционная;;;;;180 000 р.;;25 авг;9 месяцев;-
745023;Дистанционная;;;;;8 800 р.;;в любое время;4 дня, 32 ак. ч;-
650134;Очная;;;;;15 200 р., 30 400 р.;;20 авг, 20 авг, 5 сен, 7 сен;5 недель, 60 ак. ч;Будни/Выходные
650134;Он-лайн;;;;;27 400 р.;;20 авг, 20 авг, 5 сен, 7 сен;5 недель, 60 ак. ч;Будни/Выходные
718478;Дистанционная;;;;;38 900 р.;;в любое время;40 ак. ч;-
718478;Онлайн-трансляция;;;;;55 500 р.;;21 сен, 21 сен, 26 окт, 30 ноя;5 дней, 40 ак. ч;5 дней онлайн-трансляции c 09.00 до 16.15 (по московскому времени)
718478;Очная;;;;;55 500 р.;;21 сен, 21 сен, 26 окт, 30 ноя;5 дней, 40 ак. ч;5 дней очного обучения c 09.00 до 16.15
737255;Дистанционная;;;;;1 500 р.;;в любое время;1 неделя;-
738666;Русскоязычные преподаватели;;;;;580 р.;;в любое время;1 ак. ч;-
738666;Носители английского языка;;;;;1 700 р.;;в любое время;1 ак. ч;-
668705;Дистанционная;;;;;33 990 р.;;24 авг;4 дня, 52 ак. ч;-
668705;Очная;;;;;33 990 р.;;24 авг;4 дня, 52 ак. ч;-
742686;Дистанционная;;;;;200 р.;;по мере набора;1 день;-
650403;Вечерняя;;;;;21 500 р.;;21 сен;6 недель, 72 ак. ч;3 раза в неделю, по рабочим дням с 18:00 до 21:00
744317;Очная;;;;;15 000 р.;;9 сен;72 ак. ч;-
711558;Заочная;;;;;138 000 р.;;20 авг, 20 авг, 4 сен, 21 сен, 5 окт, 20 окт, 5 ноя, 20 ноя, 4 дек, 21 дек;18 месяцев, 1536 ак. ч;от 20 до 40 часов в неделю
730651;Дистанционная;;;;;270 000 р.;;-;18 месяцев;2–4 занятия в неделю
740537;Дистанционная;;;;;3 400 р., 4 000 р.;;в любое время;6 дней, 48 ак. ч;свободный
746126;Online;;;;;бесплатно;;-;1 день;-
686575;Группа выходного дня;;;;;14 000 р.;;16 окт, 16 окт, 15 янв 2021, 14 май 2021;3 дня, 29 ак. ч;пятница с 17.00 до 21.00, суббота и воскресенье с 09.00 до 19.00
732710;Очная;;;;;7 200 р.;;по мере набора;72 ак. ч;-
735914;Дистанционная;;;;;47 900 р.;;5 сен;6 месяцев;-
737977;Дистанционная;;;;;25 000 р.;;23 авг, 23 авг, 30 авг;2 месяца;-
720561/1;Очно-заочная;-;;-;;;145 000 р.;1 сен;66 месяцев;
